level,artist,album,year,sources,spotifyName,spotifyArtists,albumType,releaseDate,label,flags,spotifyUrl
"A","BIGBANG","BIGBANG2","2011","seed","THE BEST OF BIGBANG 2006-2014","BIGBANG","","","","長名包短名 +16字 ×3.00；Spotify 名帶精選輯標記","https://open.spotify.com/album/1JwbdXLKJVffgSW95WcTUp"
"A","BMX Bandits","C86","1989","seed","C86 / Star Wars","BMX Bandits","","","","長名包短名 +8字 ×3.67；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/0zACoMT7voPPukM9e75GkX"
"A","Britney Spears","Glory","2016","seed","Glory : Japan Tour Edition","Britney Spears","","","","長名包短名 +16字 ×4.20","https://open.spotify.com/album/7de9JdO8rQxVOJ9NE3WuiN"
"A","Chapterhouse","Whirlpool","1991","seed","Whirlpool, Before and After","Chapterhouse","","","","長名包短名 +14字 ×2.56","https://open.spotify.com/album/3gBNx3rrHpUhcN0ZAeFrX5"
"A","Charles Lloyd","Forest Flower","1967","seed","Forest Flower: Charles Lloyd At Monterey (Live)","Charles Lloyd","","","","長名包短名 +22字 ×2.83","https://open.spotify.com/album/6lIWfnUerZuu9UcUDnF2JD"
"A","Chet Baker","Chet","1959","seed","My Funny Valentine: The Best Of Chet Baker","Chet Baker","","","","長名包短名 +30字 ×8.50；Spotify 名帶精選輯標記","https://open.spotify.com/album/1N1slntg5Bz5fe9S5S1R3t"
"A","Chris Connor","Sings Lullabys of Birdland","1956","seed","Four Classic Albums Plus (Sings Lullabys of Birdland / Chris / This Is Chris / Chris Connor) [Remastered]","Chris Connor","","","","長名包短名 +48字 ×3.09；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/2scPwWTBlEkYxmQb6DI9aJ"
"A","Clifford Brown & Max Roach","Clifford Brown & Max Roach","1954","seed","Clifford Brown & Max Roach Quintet with Harold Land. Complete Studio Recordings","Clifford Brown & Max Roach Quintet","","","","長名包短名 +45字 ×2.88","https://open.spotify.com/album/3KJsd3MKPZM64P0SNhbZpE"
"A","Coil","Love's Secret Domain","1991","seed","Love's Secret Domain (30th Anniversary 2021 Remaster) [Bonati]","Coil","","","","長名包短名 +33字 ×2.94","https://open.spotify.com/album/7MQvigPEEdUah55iR4QiJs"
"A","Current 93","All the Pretty Little Horses","1996","seed","All the Pretty Little Horses (The Inmost Light)","Current 93","","","","長名包短名 +14字 ×1.58","https://open.spotify.com/album/6wgUZyqE6FjVY9eNBtrf48"
"A","Darius","Darius","1969","apex:pearl","Darius Lim: Songs of Dreams","Darius Lim","","","","長名包短名 +16字 ×3.67","https://open.spotify.com/album/0r1hON0eRW000r2rZayENn"
"A","Das Ding","H.S.T.A.","2009","apex:pearl","H.S.T.A. LP","Das Ding","","","","長名包短名 +2字 ×1.50","https://open.spotify.com/album/0Pys0h7YBUKhoBafkZsdds"
"A","Dead Kennedys","Plastic Surgery Disasters","1982","seed","Plastic Surgery Disasters/In God We Trust, Inc.","Dead Kennedys","","","","長名包短名 +15字 ×1.65；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/2RJyh3Aw5mOxwkj0YO6OVS"
"A","Dexter Gordon","Go","1962","seed","Dexter Gordon-Live At Carnegie Hall","Dexter Gordon","","","","長名包短名 +10字 ×6.00","https://open.spotify.com/album/2bOFYAtbsRHLmIqLyjta97"
"A","Dion","Born to Be with You","1975","seed","Born to Be With You / Streetheart","Dion","album","1976-01-01","","長名包短名 +11字 ×1.73；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/0DOf8RoY5pxvrbDCEGlj7B"
"A","Duke Ellington","Ellington at Newport","1956","seed","Ellington at Newport 1956 (Complete)","Duke Ellington","","","","長名包短名 +12字 ×1.67","https://open.spotify.com/album/0t41BkcZayaAsa0FdRelfz"
"A","Duke Ellington","At Newport","1956","seed","Ellington At Newport: The Original Album","Duke Ellington","","","","長名包短名 +25字 ×3.78","https://open.spotify.com/album/15HkUJEPhAksW8MmdRwv9R"
"A","Essential Logic","Beat Rhythm News","1979","seed","Beat Rhythm News (Waddle Ya Play?)","Essential Logic","","","","長名包短名 +12字 ×1.86","https://open.spotify.com/album/3fuM8q1VOtXWGcQU5bqNdq"
"A","Frank Sinatra","Songs by Sinatra","1947","seed","Christmas Songs by Sinatra","Frank Sinatra","","","","長名包短名 +9字 ×1.64","https://open.spotify.com/album/4XbPmVHP7EYBMoE7ZVjKCU"
"A","Freddie King","Getting Ready...","1971","seed","Getting Ready... (World)","Freddie King","album","1971","","長名包短名 +5字 ×1.42","https://open.spotify.com/album/2bNjljctm6ynfp9Xzdy7RI"
"A","Fugazi","Repeater","1990","apex:hall","Repeater + 3 Songs","Fugazi","","","","長名包短名 +6字 ×1.75","https://open.spotify.com/album/6JbGZGta38AArBgflt024C"
"A","Garbage","Garbage","1995","seed","Garbage Garden","Garbage Garden","","","","長名包短名 +6字 ×1.86","https://open.spotify.com/album/0uGTcbovYCaoPGkjXwqsHJ"
"A","Glenn Branca","The Ascension","1981","apex:heresy","The Ascension: The Sequel","Glenn Branca","","","","長名包短名 +9字 ×1.75","https://open.spotify.com/album/1xOjcsiHHA8VAsc77TJF4Q"
"A","Gong","You","2021","seed","Your little flaws that attract me","GAFANIO GONGKIE","single","2026-03-15","","長名包短名 +25字 ×9.33；藝人不符：GAFANIO GONGKIE","https://open.spotify.com/album/1Np6CbsdoQPxCcroaJo0nL"
"A","Grateful Dead","Workingman's Dead","1970","apex:hall","Workingman’s Dead (2023 Mickey Hart Mix)","Grateful Dead","","","","長名包短名 +17字 ×2.13","https://open.spotify.com/album/5C5SWfvEGPnbcasiePuPov"
"A","Guy Clark","Old No. 1","1975","seed","Old No.1/Texas Cookin'","Guy Clark","compilation","1998-06-15","","長名包短名 +11字 ×2.83；疑似兩張併一片的合體盤（名稱含 /）；合輯且年份差 23 年","https://open.spotify.com/album/04Y3Nk4fZIkMyYKvThnjIK"
"A","Hailu Mergia","Hailu Mergia & His Classical Instrument","2013","apex:pearl","Hailu Mergia & His Classical Instrument: Shemonmuanaye","Hailu Mergia","","","","長名包短名 +13字 ×1.36","https://open.spotify.com/album/1wqrY1fT3Mwtxfm0wP1dNZ"
"A","Henry Cow","Legend","1973","apex:heresy","Cowell: 3 Irish Legends, HC 354: No. 1, The Tides of Manaunaun","Henry Cowell","","","","長名包短名 +40字 ×7.67；藝人不符：Henry Cowell","https://open.spotify.com/album/4pVovR6IP0Fs5J2HYHgsKn"
"A","Interior","Interior","1982","apex:pearl","Contemporary Jazz Interiors - Modern Jazz for Refined Spaces 2026","Modern Jazz Interiors Collective","","","","長名包短名 +47字 ×6.88；藝人不符：Modern Jazz Interiors Collective","https://open.spotify.com/album/0SOyBlVHLvXSWhyaz3lhKK"
"A","Interpol","This Mirror Weighs a Ton","2026","seed","This Mirror Weighs a Ton/See Out Loud","Interpol","","","","長名包短名 +10字 ×1.50；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/53ZH0bU5CZ1QVfz92eImpl"
"A","INXS","INXS","1980","seed","INXS Remastered","INXS","","","","長名包短名 +10字 ×3.50","https://open.spotify.com/album/7CJvhqb2PJq5fBcY6eKqjl"
"A","Jacques Dutronc","Jacques Dutronc","1966","seed","Best Of Jacques Dutronc","Jacques Dutronc","compilation","2009-02-23","","長名包短名 +6字 ×1.43；Spotify 名帶精選輯標記；合輯且年份差 43 年","https://open.spotify.com/album/2UkpeSy1X7UxMDgfrBKe5x"
"A","Jeff Mills","Metropolis","2000","seed","Metropolis Metropolis","Jeff Mills","","","","長名包短名 +10字 ×2.00","https://open.spotify.com/album/42bHiKuuxkdIOe60Kj2U2Z"
"A","Jesu","Jesu","2004","seed","Jesus Fashion","Jesus Fashion Family","","","","長名包短名 +8字 ×3.00；藝人不符：Jesus Fashion Family","https://open.spotify.com/album/61b7R662BAETw85pdqFGMH"
"A","Joe Henderson","Power to the People","1969","seed","Power To The People [Keepnews Collection] (Remastered)","Joe Henderson","","","","長名包短名 +18字 ×2.13；Spotify 名帶精選輯標記","https://open.spotify.com/album/4ZlES861bCGKTdlHUto1Gv"
"A","Joe Pass","Virtuoso","1974","seed","Virtuoso #2","Joe Pass","","","","長名包短名 +1字 ×1.13；續作編號不同（多出「2」）","https://open.spotify.com/album/4CRSy3LI7Z9mzavJXFVsrW"
"A","Johnny Hodges","Back to Back","1959","seed","Back To Back (Duke Ellington And Johnny Hodges Play The Blues)","Duke Ellington, Johnny Hodges","album","1963-01-01","","長名包短名 +40字 ×5.00","https://open.spotify.com/album/7rnN7mkFVZqXgaFvQIxCKe"
"A","Journey","Escape","1981","seed","Live In Houston 1981: The Escape Tour (2022 Remaster)","Journey","album","2005-11-15","","長名包短名 +24字 ×5.00","https://open.spotify.com/album/0gHmMKZ9s3ztqeMfAzwxRL"
"A","Junei","Let's Ride","2014","apex:pearl","Let's Ride (Mission to Mars) [Extended Version] - Single","Junei' lee","","","","長名包短名 +34字 ×5.25","https://open.spotify.com/album/22BZEfewxePxe0mqCmioRt"
"A","Khatia Buniatishvili","Piano Concertos nos. 20 & 23","2024","seed","Mozart: Piano Concertos Nos. 20 & 23","Wolfgang Amadeus Mozart","","","","長名包短名 +6字 ×1.25；藝人不符：Wolfgang Amadeus Mozart","https://open.spotify.com/album/6qAcIqTkOUkMsJMgfdPlIF"
"A","King Crimson","Larks' Tongues in Aspic","1973","seed","LARKS' TONGUES IN ASPIC (2023 Elemental Mixes)","King Crimson","album","2023","","長名包短名 +18字 ×1.95","https://open.spotify.com/album/60JkjckSnhNBQFavSUubje"
"A","Koenjihyakkei","Angherr Shisspa","2005","apex:heresy","Angherr Shisspa Revisited","Koenjihyakkei","","","","長名包短名 +9字 ×1.64","https://open.spotify.com/album/4lrTpk9RBA2Srt40cuWaw8"
"A","Led Zeppelin","Led Zeppelin II","1969","apex:hall","Led Zeppelin III (Remaster)","Led Zeppelin","","","","長名包短名 +1字 ×1.08；續作編號不同（多出「i」）","https://open.spotify.com/album/6P5QHz4XtxOmS5EuiGIPut"
"A","Lennie Tristano","Lennie Tristano","1956","seed","Lennie Tristano / The New Tristano","Lennie Tristano","","","","長名包短名 +14字 ×2.00；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/1NONihvQGQ4aVVV956pGH9"
"A","Limbus 4","Mandalas","1970","apex:pearl","Mandalas","Odysseus Artner","","","","藝人不符：Odysseus Artner","https://open.spotify.com/album/5zX8GiBUbRXh4MSASzSmGw"
"A","Ludwig van Beethoven","Symphony no. 7","1950","seed","Beethoven - Symphony No. 7 And Symphony No. 8","Ludwig van Beethoven","","","","長名包短名 +23字 ×3.09","https://open.spotify.com/album/1wWTs1STquUte8PPwgrcYt"
"A","Ludwig van Beethoven","Complete Music for Piano and Violoncello","2004","seed","Beethoven: Complete Music for Piano and Violoncello","Ludwig van Beethoven","","","","長名包短名 +9字 ×1.26","https://open.spotify.com/album/091NA9nRBuyJg9uHwbuL9o"
"A","Luis Alberto Spinetta","Artaud","1973","seed","Presentación ARTAUD - 1973 - Teatro Astral (En Vivo)","Luis Alberto Spinetta","","","","長名包短名 +33字 ×6.50","https://open.spotify.com/album/5CbY6UpjMyIllLdB9VPxv4"
"A","Manuel Göttsching","E2-E4","1984","seed","E2-E4 (Mixed)","Manuel Göttsching","album","1981-12-12","","長名包短名 +5字 ×2.25","https://open.spotify.com/album/64UtnfSDLV1OLvhyqfmO8o"
"A","Marvin Gaye","What's Going On","1971","apex:hall","What’s Going On: Then, Now, Always","Marvin Gaye","","","","長名包短名 +13字 ×2.08","https://open.spotify.com/album/5Wrf1VUIYJXvuE3pvIOAYA"
"A","Max Roach","We Insist!","1960","seed","We Insist! Max Roach's Freedom Now Suite (Remastered)","Max Roach","","","","長名包短名 +24字 ×4.00","https://open.spotify.com/album/2A40MlJAWcClvI4MH8T2r0"
"A","MC HotDog 熱狗","貧民百萬歌星","2012","seed","貧民百萬歌星 2009-2012 Best Singles Collection","MC HotDog","","","","長名包短名 +29字 ×5.83；雙語標題（英譯「20092012bestsinglescollection」）；Spotify 名帶精選輯標記","https://open.spotify.com/album/6rqodxjuEAmDIwe8iWsxPj"
"A","MF DOOM","Operation: Doomsday","1999","seed","Operation: Doomsday (Complete)","MF DOOM","album","1999-10-19","","長名包短名 +8字 ×1.47","https://open.spotify.com/album/5bjUbZPVTEQcb6W3LquX1E"
"A","Miles Davis","Dark Magus","1977","seed","Dark Magus: Live At Carnegie Hall","Miles Davis","album","1977-01-01","","長名包短名 +18字 ×3.00","https://open.spotify.com/album/0oNoEAy0RMBOqwRYtkhKRb"
"A","Ministry","Psalm 69","1992","seed","KE*A*H** (Psalm 69)","Ministry","","","","長名包短名 +4字 ×1.57","https://open.spotify.com/album/2wz3P1w89gQd3iXdmF1IA5"
"A","Moby Grape","Moby Grape","1967","seed","Crosstalk: The Best Of Moby Grape","Moby Grape","compilation","2004","","長名包短名 +18字 ×3.00；Spotify 名帶精選輯標記；合輯且年份差 37 年","https://open.spotify.com/album/0WD8ECEOHIn0iQ2ejzAsBh"
"A","Morrissey","Your Arsenal","1992","seed","Your Arsenal (Definitive Master)","Morrissey","","","","長名包短名 +16字 ×2.45","https://open.spotify.com/album/4eMxaP2VDkK8yKP38Q8fkY"
"A","Mustafa Özkent","Gençlik İle Elele","1973","apex:pearl","Mustafa Özkent Ve Orkestrası Gençlik İle El Ele","Mustafa Özkent","","","","長名包短名 +23字 ×2.64","https://open.spotify.com/album/3bnqPaNk1lbje5XwhZuPwz"
"A","Neil Diamond","Hot August Night","1972","seed","Hot August Night III","Neil Diamond","album","2018-08-17","","長名包短名 +3字 ×1.21；續作編號不同（多出「iii」）","https://open.spotify.com/album/1IhDxOBmaLQQEu6zvdHLz8"
"A","Nino Rota","The Godfather","1972","seed","The Godfather Part II (Original Soundtrack Recording)","Nino Rota, Carmine Coppola","compilation","1974-01-01","","長名包短名 +6字 ×1.50","https://open.spotify.com/album/7gCLy5T7jb4289uHSbP3Js"
"A","No Trend","Too Many Humans","1983","seed","Too Many Humans/Teen Love","No Trend","album","2020-05-29","","長名包短名 +8字 ×1.62；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/7d8AXmMuJDcwSArb8UP1U1"
"A","NUMBER GIRL","NUM-HEAVYMETALLIC","2002","seed","NUM－HEAVYMETALLIC 15th Anniversary Edition","Number Girl","","","","長名包短名 +22字 ×2.38","https://open.spotify.com/album/4DK4pa60XFlmmrIFlN9FJP"
"A","Ornette Coleman","Science Fiction","1972","seed","The Complete Science Fiction Sessions","Ornette Coleman","compilation","2000-05-02","","長名包短名 +19字 ×2.36；合輯且年份差 28 年","https://open.spotify.com/album/1WEi45sOKRTSC1UkQWN74b"
"A","Osibisa","Osibisa","1971","seed","Osibisa Selected Hits","Osibisa","compilation","2006-06-12","","長名包短名 +12字 ×2.71；Spotify 名帶精選輯標記；合輯且年份差 35 年","https://open.spotify.com/album/1AGUs8NVy0PyBmAiSps1Zg"
"A","Parquet Courts","MILANO","2017","seed","Milano","Daniele Luppi","","","","藝人不符：Daniele Luppi","https://open.spotify.com/album/6ompD7OK1vSTT32zzqo75B"
"A","Patrick Cowley","Menergy","1981","seed","Menergy - The Fusion Album","Patrick Cowley","","","","長名包短名 +14字 ×3.00","https://open.spotify.com/album/4S6j3IKGLLhljMU5YKkLbs"
"A","Peggy Lee","Black Coffee","1953","seed","Black Coffee With Peggy Lee","Peggy Lee","","","","長名包短名 +12字 ×2.09","https://open.spotify.com/album/4HFtXpTGeSc7HMSLXZKExt"
"A","Pierre Henry","Variations pour une porte et un soupir","1967","apex:heresy","Mix Pierre Henry 03.1-Variations Pour Une Porte Et Un Soupir","Pierre Henry","","","","長名包短名 +17字 ×1.53","https://open.spotify.com/album/3Lnkr3mGrY3vYUlB7w7fFr"
"A","Red Velvet","Chill Kill","2023","seed","Chill Kill - The 3rd Album","Red Velvet","","","","長名包短名 +11字 ×2.22","https://open.spotify.com/album/4YBKpZhJQXxO7RNjA4V4lY"
"A","Ricky Nelson","Ricky","1957","seed","Ricky Sings Again (Expanded Edition / Remastered)","Ricky Nelson","album","1959-01-01","","長名包短名 +10字 ×3.00；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/30csxUzrzcgwuOT5QVmFmg"
"A","Rihanna","Good Girl Gone Bad","2007","seed","Good Girl Gone Bad: Reloaded","Rihanna","","","","長名包短名 +8字 ×1.53","https://open.spotify.com/album/5kc7uQ3wqfOEwbM0mjedZj"
"A","Riz Ortolani","Sound of Christmas","1968","seed","The Sound of Christmas","Al Caiola","","","","長名包短名 +3字 ×1.19；藝人不符：Al Caiola","https://open.spotify.com/album/77WOHyU3ORAgJfk9U7xhg0"
"A","Roberta Flack","Born to Love","1983","seed","Born To Love","Peabo Bryson","","","","藝人不符：Peabo Bryson","https://open.spotify.com/album/2tM4mgvIwXse9Ty1i59yVE"
"A","Roberto Cacciapaglia","Sonanze","1975","apex:pearl","Sonances / Sonanze & Otherworks","Roberto Cacciapaglia","","","","長名包短名 +21字 ×4.00；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/2MoGoOOc7m4x3ZKewxp57j"
"A","Santana","Santana","1969","seed","Santana's Greatest Hits","Santana","compilation","1994-07-01","","長名包短名 +13字 ×2.86；Spotify 名帶精選輯標記；合輯且年份差 25 年","https://open.spotify.com/album/1YrdGK2y2Edq2R5gFja2ai"
"A","Shiho Yabuki","The Body Is a Message of the Universe","1987","apex:pearl","The Body Is a Message of the Universe - からだは宇宙のメッセージ","Shiho Yabuki","","","","長名包短名 +12字 ×1.40","https://open.spotify.com/album/06FCEZqQKs8xTpNl7laVNC"
"A","Sonic Youth","Confusion Is Sex","1983","apex:heresy","Confusion Is Sex (Plus Kill Yr. Idols)","Sonic Youth","","","","長名包短名 +17字 ×2.21","https://open.spotify.com/album/0WCESPeSMPElpEddTE4KeG"
"A","Spandau Ballet","True","1983","seed","True (2022 Remix)","Spandau Ballet","","","","長名包短名 +9字 ×3.25","https://open.spotify.com/album/29PcBIJpIXGkmWKUBMDg0s"
"A","Sugar Ray","14:59","1999","seed","14:59 25th Anniversary EP","Sugar Ray","","","","長名包短名 +17字 ×5.25","https://open.spotify.com/album/25zfRx0ujSg2B1PN7yzYfL"
"A","Swans","Cop","1984","apex:heresy","Cop / Young God","Swans","","","","長名包短名 +8字 ×3.67；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/124hidU7qzKTQmFOEcLyFA"
"A","The Alarm","Declaration","1984","seed","Declaration 1984-1985","The Alarm","","","","長名包短名 +8字 ×1.73","https://open.spotify.com/album/5VYWeuiYGMeughiGXDzz1n"
"A","The Band","The Band","1969","apex:hall","As The Music Plays the Band","Bamboo (The Band)","","","","長名包短名 +15字 ×3.14","https://open.spotify.com/album/79tRafEG4pTTbZHNpGlKUI"
"A","The Birthday Party","Junkyard","1982","seed","醜奴兒","No Party For Cao Dong","album","2016-02-19","","跨語言配對（需人工確認）；藝人不符：No Party For Cao Dong","https://open.spotify.com/album/2Qfn3LNC6qhxgpyPjBQFJh"
"A","The Dramatics","Dramatically Yours","1974","seed","Dramatically Yours","Ron Banks","","","","藝人不符：Ron Banks","https://open.spotify.com/album/5jlqXCvNn47hbTJInvAqQU"
"A","The La's","The La's","1990","apex:hall","Beyond The Last Star","Beyond The Last Star","","","","長名包短名 +11字 ×2.83；藝人不符：Beyond The Last Star","https://open.spotify.com/album/6HB8IHuSbf5k1ufN8LRAv4"
"A","The Residents","Eskimo","1979","apex:heresy","Eskimo: pREServed Edition","The Residents","","","","長名包短名 +16字 ×3.67","https://open.spotify.com/album/5ypLXdZQyRO4MrOqg0UZHq"
"A","The Rolling Stones","Exile on Main St.","1972","apex:hall","Exile On Main Street (2010 Re-Mastered)","The Rolling Stones","","","","長名包短名 +18字 ×2.38","https://open.spotify.com/album/5U4dnRZsfW8NmwBBkELFPh"
"A","The Staple Singers","Swing Low","1961","seed","Swing Low Sweet Chariot","The Staple Singers","","","","長名包短名 +12字 ×2.50","https://open.spotify.com/album/2vGEwqjJYyz9RXeTLCKOf1"
"A","The Velvet Underground","The Velvet Underground & Nico","1967","apex:hall","The Velvet Underground & Nico 45th Anniversary","The Velvet Underground","","","","長名包短名 +15字 ×1.56","https://open.spotify.com/album/4xwx0x7k6c5VuThz5qVqmV"
"A","The Velvet Underground","The Velvet Underground","1969","apex:hall","The Velvet Underground & Nico 45th Anniversary","The Velvet Underground","","","","長名包短名 +22字 ×2.10","https://open.spotify.com/album/4xwx0x7k6c5VuThz5qVqmV"
"A","The Wake","Harmony","1982","seed","Harmony + Singles","The Wake","","","","長名包短名 +7字 ×2.00","https://open.spotify.com/album/1Vxqpco8S2jrVGZKw5QUQP"
"A","The Waterboys","Fisherman's Blues","1988","seed","Fisherman's Box: The Complete Fisherman's Blues Sessions (1986-1988)","The Waterboys","","","","長名包短名 +40字 ×3.67","https://open.spotify.com/album/5jpvpAKlWgOxbsBYGwLRZl"
"A","The Wedding Present","George Best","1987","seed","George Best Plus","The Wedding Present","","","","長名包短名 +4字 ×1.40","https://open.spotify.com/album/1FeNklwHkwnhjkHP9ziHMu"
"A","The Who","Who's Next","1971","apex:hall","Who’s Next : Life House","The Who","","","","長名包短名 +9字 ×2.13","https://open.spotify.com/album/6cwiMSoaljYA0qOBqgq474"
"A","Throbbing Gristle","D.o.A: The Third and Final Report","1978","apex:heresy","D.O.A. the Third and Final Report of Throbbing Gristle (Remastered)","Throbbing Gristle","","","","長名包短名 +18字 ×1.72","https://open.spotify.com/album/5yj769ALl6uKp6ZIJO0BQM"
"A","Throbbing Gristle","D.o.A. The Third and Final Report","1978","apex:heresy","D.O.A. the Third and Final Report of Throbbing Gristle (Remastered)","Throbbing Gristle","","","","長名包短名 +18字 ×1.72","https://open.spotify.com/album/5yj769ALl6uKp6ZIJO0BQM"
"A","Tuxedomoon","Half-Mute","1980","seed","Half Mute / Scream With a View","Tuxedomoon","","","","長名包短名 +15字 ×2.88；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/7xjDegZP677Ot0FAd5CJHr"
"A","White Zombie","Astro-Creep: 2000","1995","seed","Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head","White Zombie","","","","長名包短名 +65字 ×5.64","https://open.spotify.com/album/3HugnfabsMODIbxzwxS5xC"
"A","William Bell","Wow...","1971","seed","Wow.../Bound To Happen (Reissue)","William Bell","","","","長名包短名 +13字 ×5.33；疑似兩張併一片的合體盤（名稱含 /）","https://open.spotify.com/album/4GH8D3C2OVfy8WlxefdVE1"
"A","Wings","Band on the Run","1973","apex:hall","Band On The Run","Paul McCartney","","","","藝人不符：Paul McCartney","https://open.spotify.com/album/257oomaawruFknt5wYCPDh"
"A","Yellow Magic Orchestra","Naughty Boys","1983","seed","Naughty Boys & Instrumental","YELLOW MAGIC ORCHESTRA","","","","長名包短名 +15字 ×2.36","https://open.spotify.com/album/0Apb4rWlRu82RGhfyuLaVh"
"A","Yutaka Hirose","Nova","1986","apex:pearl","Nova + 4 (Extended Version)","Yutaka Hirose","","","","長名包短名 +1字 ×1.25；續作編號不同（多出「4」）","https://open.spotify.com/album/7lETHTMoNPXfiqrEWcuKg1"
"A","Zounds","The Curse of Zounds","1982","seed","The Curse of Zounds Discography (Remastered)","Zounds","album","2007-01-01","","長名包短名 +11字 ×1.69；Spotify 名帶精選輯標記","https://open.spotify.com/album/7xQL9UGIjKnjYCRnloRzv3"
"A","キングギドラ","空からの力","1995","seed","空からの力","KING GHIDORAH","","","","藝人不符：KING GHIDORAH","https://open.spotify.com/album/1XB3dDf9n4uuG2NEZjqqCI"
"A","キングギドラ","最終兵器","2002","seed","最終兵器","KING GHIDORAH","","","","藝人不符：KING GHIDORAH","https://open.spotify.com/album/4QB1hx7ZUxwyf9q4iPw9pg"
"B","Ayalew Mesfin","Hasabe (My Worries)","2018","apex:pearl","Hasabe","Ayalew Mesfin","","","","卡池名被截短 -9字","https://open.spotify.com/album/5pYrJ7IC38fEHudYN7AQ1R"
"B","Bobby Womack","Across 110th Street","1972","seed","Across 110th Street - Single","Bobby Womack","single","1972","","長名包短名 +6字 ×1.35","https://open.spotify.com/album/6YrsIk3CVHxnzepnq6wZ3c"
"B","Don Cherry","“Mu” First Part / “Mu” Second Part / Orient","2013","seed","Mu First Part","Don Cherry","","","","卡池名被截短 -18字","https://open.spotify.com/album/4GEplB8Ny8yGPevCy4tOFA"
"B","Fishmans","Uchu Nippon Setagaya","1997","seed","宇宙 日本 世田谷","Fishmans","","","","跨語言配對（需人工確認）","https://open.spotify.com/album/0hUfv1cSXNaBZ6dHKGluEy"
"B","Fishmans","98.12.28 Otokotachi no Wakare","1999","seed","98.12.28 男達の別れ (Live)","Fishmans","","","","跨語言配對（需人工確認）","https://open.spotify.com/album/5K4YFkTizFoMOyN5Khfp7G"
"B","Forest","Full Circle","1970","apex:pearl","The Full Circle","Forest","","","","長名包短名 +3字 ×1.30","https://open.spotify.com/album/5f6CU5YKiixznxqpm4LGpM"
"B","Guru","Jazzmatazz, Vol. 1","1993","seed","Guru's Jazzmatazz, Vol. 1 (Deluxe Edition)","Guru","compilation","1993-05-18","","長名包短名 +5字 ×1.36","https://open.spotify.com/album/4kO7EI4XxT5M0BMkrx0mBh"
